Customer ID,Age,Preferred Platform,Order Frequency,Order Type,Delivery Time Preference,Delivery Speed Preference,Satisfaction Rating,Payment Method,Discount Usage,Restaurant Rating,Order Size
CUST0046,23,Swiggy,Daily,Beverages,Night,Fast,2.500963110521759,Credit Card,Yes,4.763964186942894,Medium
CUST0047,42,Zomato,Occasionally,Beverages,Night,Fast,3.1370927048446466,Credit Card,Yes,3.66031314130042,Medium
CUST0048,24,Uber Eats,Monthly,Fast Food,Night,Medium,1.6638779512340318,Credit Card,No,2.513742792928489,Large
CUST0049,40,Zomato,Weekly,Healthy Food,Morning,Medium,3.422756355689951,Cash on Delivery,No,1.2289661757738903,Medium
CUST0050,40,Swiggy,Occasionally,Healthy Food,Evening,Fast,1.7495156405923327,Cash on Delivery,No,2.4241169355236716,Small
CUST0051,56,Uber Eats,Daily,Desserts,Night,Slow,1.4673785526929404,Credit Card,No,2.321021014638847,Large
CUST0052,34,Uber Eats,Monthly,Fast Food,Afternoon,Medium,4.129375748382216,Debit Card,No,1.4007094503368336,Large
CUST0053,20,Uber Eats,Weekly,Fast Food,Afternoon,Slow,2.2331256778617554,Credit Card,No,2.8276770374340265,Medium
CUST0054,64,Zomato,Daily,Healthy Food,Morning,Fast,4.431277910307031,Credit Card,No,3.7932330787720785,Small
CUST0055,47,Swiggy,Monthly,Desserts,Evening,Fast,3.8393600592502417,Credit Card,Yes,3.900880749089156,Small
CUST0056,52,Zomato,Daily,Desserts,Night,Fast,2.0859896663984525,Cash on Delivery,Yes,4.551882205159578,Large
CUST0057,25,Uber Eats,Monthly,Healthy Food,Morning,Fast,1.3471911399678715,Credit Card,No,1.555452109148515,Large
CUST0058,42,Zomato,Weekly,Beverages,Evening,Fast,4.508194930483169,UPI,No,3.4076367057232417,Small
CUST0059,23,Uber Eats,Weekly,Fast Food,Afternoon,Medium,2.486334307548592,Credit Card,No,4.476021126825492,Small
CUST0060,53,Zomato,Daily,Desserts,Night,Fast,4.3178298756696805,Credit Card,Yes,2.117870120735822,Large
CUST0061,36,Swiggy,Monthly,Beverages,Morning,Medium,2.2105148201030453,UPI,No,3.797058485491268,Large
CUST0062,58,Zomato,Occasionally,Desserts,Morning,Medium,3.100401678750464,Credit Card,Yes,4.260207034603883,Medium
CUST0063,57,Zomato,Weekly,Beverages,Evening,Medium,1.7000509831974289,Credit Card,No,2.4737195805286785,Small
CUST0064,41,Zomato,Occasionally,Beverages,Morning,Medium,2.4968627627177233,Credit Card,No,3.4734067823345924,Small
CUST0065,54,Zomato,Occasionally,Fast Food,Morning,Medium,1.149580144220304,Debit Card,Yes,3.63550442069331,Small
CUST0066,30,Swiggy,Daily,Desserts,Night,Medium,1.8083936546252324,Debit Card,No,2.9007977102671263,Medium
CUST0067,63,Uber Eats,Daily,Desserts,Afternoon,Slow,1.3704164756469157,Debit Card,No,2.652506371147287,Large
CUST0068,22,Uber Eats,Daily,Beverages,Afternoon,Fast,3.0239787705223193,UPI,Yes,1.7517397404649584,Small
CUST0069,20,Uber Eats,Monthly,Healthy Food,Evening,Medium,4.196101113637185,Credit Card,No,4.944725621881284,Medium
CUST0070,60,Swiggy,Weekly,Desserts,Afternoon,Fast,4.619823202492425,Credit Card,No,4.830188570676377,Small
CUST0071,32,Swiggy,Weekly,Fast Food,Evening,Fast,1.6163111087742945,Debit Card,Yes,4.250476191108929,Medium
CUST0072,36,Zomato,Occasionally,Healthy Food,Night,Fast,2.360463616956376,UPI,Yes,1.0665212164454845,Medium
CUST0073,23,Swiggy,Daily,Desserts,Evening,Medium,2.933887771738799,UPI,Yes,2.440822448534801,Small
CUST0074,32,Uber Eats,Monthly,Fast Food,Afternoon,Medium,4.495516375411389,UPI,No,1.1830171337603796,Medium
CUST0075,24,Swiggy,Weekly,Healthy Food,Morning,Fast,2.241434835658467,Debit Card,Yes,4.230231247419507,Small
CUST0076,42,Uber Eats,Monthly,Desserts,Night,Slow,2.3093518061427782,Debit Card,Yes,2.3021007978299086,Small
CUST0077,35,Swiggy,Daily,Fast Food,Afternoon,Medium,4.077925588840216,Credit Card,Yes,2.7772246370780063,Medium
CUST0078,47,Swiggy,Daily,Healthy Food,Night,Fast,1.393006259862736,Credit Card,Yes,3.427052065269236,Large
CUST0079,58,Uber Eats,Weekly,Desserts,Evening,Fast,4.929093895495648,Credit Card,Yes,2.600660763359208,Medium
CUST0080,41,Uber Eats,Occasionally,Healthy Food,Afternoon,Medium,3.064586480758109,Debit Card,No,3.4503693817246073,Medium
CUST0081,28,Swiggy,Occasionally,Beverages,Morning,Medium,4.97088137664548,Debit Card,Yes,1.3254769250254022,Small
CUST0082,41,Swiggy,Daily,Beverages,Morning,Fast,1.8207484401634524,UPI,Yes,2.7116651218856793,Small
CUST0083,40,Zomato,Daily,Healthy Food,Morning,Fast,1.1462101477196338,Debit Card,Yes,4.725933877869773,Small
CUST0084,31,Uber Eats,Occasionally,Beverages,Morning,Slow,2.55035286288492,Credit Card,Yes,4.723378016833124,Large
CUST0085,60,Zomato,Daily,Beverages,Night,Fast,4.4592408097489145,Credit Card,No,4.947485853980154,Medium
CUST0086,35,Swiggy,Weekly,Healthy Food,Afternoon,Medium,1.4633439482483226,Debit Card,Yes,4.428400000914923,Medium
CUST0087,62,Uber Eats,Weekly,Beverages,Morning,Medium,2.243925271401922,Cash on Delivery,Yes,4.6208110481636435,Medium
CUST0088,61,Swiggy,Monthly,Healthy Food,Morning,Fast,1.1761198546604015,UPI,No,3.937110971953229,Medium
CUST0089,59,Uber Eats,Occasionally,Healthy Food,Morning,Slow,4.3924960969176166,Debit Card,Yes,2.1754518928281605,Medium
CUST0090,22,Swiggy,Daily,Beverages,Evening,Fast,4.487500372143861,Cash on Delivery,No,1.7803078207952372,Large
CUST0091,56,Zomato,Monthly,Desserts,Afternoon,Fast,2.3331590135954587,Credit Card,No,1.5726457795458648,Small
CUST0092,58,Zomato,Weekly,Healthy Food,Night,Medium,4.556743503991955,Debit Card,Yes,3.0802177153895496,Small
CUST0093,28,Zomato,Occasionally,Healthy Food,Evening,Slow,1.4124113178425342,UPI,No,3.287570499922691,Large
CUST0094,52,Uber Eats,Weekly,Desserts,Evening,Fast,4.064720739691981,Cash on Delivery,Yes,4.427210441728402,Medium
CUST0095,64,Uber Eats,Daily,Beverages,Night,Slow,3.9822189006948707,Cash on Delivery,No,3.018546463005118,Small
CUST0096,33,Uber Eats,Monthly,Fast Food,Morning,Slow,1.0899210446345755,Debit Card,No,1.5114454179383827,Medium
CUST0097,28,Zomato,Daily,Desserts,Morning,Fast,4.033975282673326,Debit Card,Yes,4.187283041688499,Medium
CUST0098,47,Uber Eats,Daily,Fast Food,Afternoon,Medium,3.555403408173787,Cash on Delivery,No,2.205393219958368,Medium
CUST0099,42,Swiggy,Occasionally,Beverages,Morning,Medium,1.839382747437965,Credit Card,Yes,3.692248642334483,Medium
CUST0100,35,Uber Eats,Occasionally,Healthy Food,Evening,Slow,1.8022220490141403,UPI,No,3.1949866410261274,Large
CUST0101,58,Zomato,Daily,Healthy Food,Evening,Medium,2.1462695085003833,Credit Card,No,4.499143107736201,Large
CUST0102,62,Zomato,Occasionally,Beverages,Evening,Medium,3.129103223060065,Cash on Delivery,No,1.6722114055278472,Small
CUST0103,53,Swiggy,Monthly,Beverages,Night,Fast,4.091148389611114,Credit Card,Yes,2.785146801324225,Medium
CUST0104,32,Uber Eats,Monthly,Beverages,Morning,Slow,3.6844961678281676,Debit Card,Yes,1.4627145672490758,Medium
CUST0105,61,Uber Eats,Daily,Beverages,Morning,Slow,2.090616826692841,Cash on Delivery,Yes,3.6505684417685242,Large
CUST0106,38,Swiggy,Monthly,Beverages,Morning,Fast,1.6299840591441654,UPI,Yes,1.9636064542340037,Large
CUST0107,21,Swiggy,Daily,Beverages,Morning,Slow,1.4578415756004066,UPI,No,1.8465632847080529,Medium
CUST0108,32,Zomato,Monthly,Beverages,Afternoon,Slow,4.833192218033819,Credit Card,Yes,4.0130100829663835,Medium
CUST0109,20,Uber Eats,Weekly,Healthy Food,Afternoon,Slow,3.238503054203411,Credit Card,Yes,3.638980409500271,Small
CUST0110,38,Swiggy,Daily,Fast Food,Evening,Fast,1.4095011713080816,UPI,No,1.357727262540748,Large
CUST0111,43,Uber Eats,Monthly,Fast Food,Evening,Medium,3.1701148554777543,Cash on Delivery,Yes,2.7395736275124984,Medium
CUST0112,35,Swiggy,Weekly,Healthy Food,Night,Medium,3.1974626278425724,Credit Card,Yes,3.8630606242782406,Large
CUST0113,22,Zomato,Daily,Desserts,Evening,Slow,2.08420840327611,Cash on Delivery,No,1.6409411111177046,Medium
CUST0114,31,Swiggy,Monthly,Fast Food,Morning,Medium,4.773111274968198,UPI,No,4.715869436457776,Medium
CUST0115,54,Swiggy,Monthly,Desserts,Evening,Fast,4.21601135382854,Cash on Delivery,Yes,4.610594075426155,Large
CUST0116,63,Swiggy,Weekly,Healthy Food,Evening,Medium,3.2963317705638726,UPI,Yes,4.06523529530638,Small
CUST0117,38,Swiggy,Occasionally,Desserts,Afternoon,Fast,1.6850999018920323,Cash on Delivery,No,1.88150413987562,Large
CUST0118,31,Swiggy,Occasionally,Healthy Food,Morning,Slow,2.245510238804307,Debit Card,Yes,2.0305141707042655,Large
CUST0119,59,Uber Eats,Weekly,Beverages,Night,Fast,4.5689724188667205,Cash on Delivery,Yes,2.905209271654602,Small
CUST0120,49,Zomato,Weekly,Beverages,Night,Fast,3.162308408130635,UPI,Yes,4.590043534952439,Large
CUST0121,43,Zomato,Daily,Fast Food,Night,Fast,1.2029047349117397,Cash on Delivery,No,1.492392440601479,Small
CUST0122,59,Swiggy,Occasionally,Fast Food,Evening,Slow,1.1159707448105682,Debit Card,No,1.543025729737764,Large
CUST0123,47,Swiggy,Daily,Desserts,Night,Medium,4.613169630631683,Credit Card,Yes,3.138173211620694,Large
CUST0124,27,Uber Eats,Monthly,Desserts,Night,Medium,1.201824042377678,Cash on Delivery,No,3.9016576257931823,Small
CUST0125,34,Swiggy,Weekly,Fast Food,Night,Fast,2.5343985573589762,UPI,Yes,1.3617670177084342,Small
CUST0126,26,Swiggy,Daily,Beverages,Afternoon,Fast,1.3444783218641798,Debit Card,No,3.7671381930351586,Small
CUST0127,33,Uber Eats,Weekly,Healthy Food,Morning,Medium,2.56766704258272,Credit Card,No,4.487762428039497,Medium
CUST0128,65,Swiggy,Daily,Beverages,Afternoon,Slow,3.8187103747165607,Cash on Delivery,No,4.7271198205939555,Medium
CUST0129,53,Uber Eats,Monthly,Fast Food,Morning,Fast,4.565103578351623,Credit Card,No,4.065349546785578,Small
CUST0130,52,Zomato,Monthly,Healthy Food,Afternoon,Medium,3.5178827594570636,Cash on Delivery,Yes,3.4027176816662257,Large
CUST0131,34,Swiggy,Occasionally,Desserts,Morning,Fast,3.7604995876361578,Cash on Delivery,Yes,3.575946162439161,Medium
CUST0132,65,Zomato,Occasionally,Fast Food,Night,Fast,2.7833450620268385,Credit Card,Yes,2.5080412897517417,Small
CUST0133,55,Swiggy,Monthly,Beverages,Night,Fast,2.4224972520005896,Credit Card,Yes,3.8697709364583437,Small
CUST0134,45,Swiggy,Daily,Desserts,Night,Slow,2.3293283825350395,Debit Card,Yes,3.9440099515029217,Medium
CUST0135,55,Swiggy,Weekly,Desserts,Afternoon,Slow,1.7925885532170138,Cash on Delivery,No,2.5266020194864165,Medium
CUST0136,43,Zomato,Monthly,Fast Food,Night,Medium,4.0336101851126624,Cash on Delivery,No,3.568408810647782,Large
CUST0137,41,Swiggy,Monthly,Beverages,Evening,Slow,4.237199292584805,Credit Card,Yes,3.2475997795536515,Small
CUST0138,32,Uber Eats,Daily,Fast Food,Morning,Slow,1.3141824297214115,Debit Card,No,4.424564046769209,Medium
CUST0139,26,Zomato,Monthly,Healthy Food,Afternoon,Fast,4.691135965458837,Credit Card,Yes,4.2337899277617765,Medium
CUST0140,50,Uber Eats,Monthly,Healthy Food,Night,Medium,4.057713135054569,UPI,No,1.8942033427683693,Medium
CUST0141,49,Uber Eats,Daily,Desserts,Night,Fast,3.271157209032633,Debit Card,No,1.462759861081138,Large
CUST0142,23,Swiggy,Monthly,Beverages,Morning,Fast,1.371664697314829,UPI,No,1.3507213625723873,Large
CUST0143,21,Swiggy,Occasionally,Healthy Food,Night,Fast,4.209401992550165,Debit Card,Yes,1.3565577071976018,Medium
CUST0144,25,Zomato,Occasionally,Healthy Food,Night,Medium,3.7943976363025875,Cash on Delivery,No,3.9623248753607414,Small
CUST0145,27,Zomato,Occasionally,Healthy Food,Morning,Fast,1.389051987397199,Credit Card,Yes,4.748842602615248,Small
CUST0146,58,Uber Eats,Occasionally,Healthy Food,Morning,Slow,2.2415667380236974,Debit Card,No,3.9784710091950797,Small
CUST0147,28,Swiggy,Monthly,Fast Food,Evening,Slow,3.5776744398539035,Cash on Delivery,Yes,1.4644248954307737,Large
CUST0148,61,Uber Eats,Weekly,Desserts,Evening,Medium,4.065973981183665,Cash on Delivery,Yes,2.470948103887363,Small
CUST0149,45,Swiggy,Occasionally,Desserts,Morning,Slow,2.8821834990887107,UPI,No,4.413321236174473,Medium
CUST0150,56,Uber Eats,Occasionally,Healthy Food,Afternoon,Fast,4.789793080800607,UPI,Yes,4.816274475461098,Medium
CUST0151,22,Swiggy,Monthly,Desserts,Evening,Fast,1.5748867351143438,Cash on Delivery,Yes,3.307667366770443,Small
CUST0152,42,Zomato,Monthly,Desserts,Morning,Medium,4.582803446559372,UPI,Yes,1.0067139658569966,Medium
CUST0153,42,Zomato,Daily,Desserts,Night,Slow,2.0322110626954317,Cash on Delivery,No,1.2475397464650801,Medium
CUST0154,56,Swiggy,Occasionally,Desserts,Afternoon,Fast,2.4537973818801913,Cash on Delivery,No,3.142412161524822,Small
CUST0155,47,Uber Eats,Daily,Fast Food,Night,Slow,1.7334122866277282,Cash on Delivery,No,4.388474386577174,Medium
CUST0156,51,Zomato,Occasionally,Healthy Food,Evening,Slow,4.669057687079329,UPI,Yes,4.9193979926019455,Medium
CUST0157,34,Swiggy,Weekly,Beverages,Night,Fast,2.3213118251794187,Debit Card,Yes,2.2785719564938813,Large
CUST0158,53,Swiggy,Monthly,Fast Food,Afternoon,Fast,4.44316637165558,Cash on Delivery,Yes,2.460095369741861,Medium
CUST0159,18,Uber Eats,Monthly,Desserts,Morning,Medium,2.2990443543578105,Credit Card,No,3.7172086815215692,Small
CUST0160,61,Swiggy,Daily,Healthy Food,Morning,Fast,2.9500269302804507,Credit Card,Yes,4.186261210629564,Large
CUST0161,64,Zomato,Daily,Healthy Food,Afternoon,Medium,1.26146079526348,UPI,Yes,3.0790055293960203,Large
CUST0162,25,Zomato,Monthly,Healthy Food,Night,Slow,1.4515482292008643,Cash on Delivery,No,3.406470554792165,Medium
CUST0163,61,Uber Eats,Monthly,Healthy Food,Night,Slow,2.914608343280604,Cash on Delivery,No,1.8885662289436436,Small
CUST0164,52,Uber Eats,Monthly,Desserts,Afternoon,Medium,4.383065049970195,Debit Card,Yes,2.58124953535761,Medium
CUST0165,35,Zomato,Occasionally,Healthy Food,Morning,Medium,2.129029475687191,Debit Card,Yes,3.153171773325265,Medium
CUST0166,59,Uber Eats,Occasionally,Beverages,Night,Slow,2.3944617689979144,Credit Card,No,2.842411080477423,Small
CUST0167,39,Zomato,Weekly,Beverages,Evening,Fast,3.2987130322275755,Credit Card,No,1.578803146366714,Large
CUST0168,25,Swiggy,Occasionally,Healthy Food,Afternoon,Fast,3.031798663822776,Credit Card,Yes,4.77155963471006,Small
CUST0169,36,Uber Eats,Monthly,Desserts,Evening,Slow,2.622743928955581,Credit Card,Yes,4.348866618242986,Medium
CUST0170,45,Zomato,Occasionally,Beverages,Evening,Medium,3.857092344664269,Cash on Delivery,Yes,2.999330660104183,Small
CUST0171,28,Uber Eats,Daily,Beverages,Morning,Medium,1.4279251791796006,Credit Card,No,2.82313812218384,Large
CUST0172,47,Swiggy,Monthly,Beverages,Afternoon,Slow,3.2245994403794827,Debit Card,No,3.40586165438273,Small
CUST0173,18,Zomato,Occasionally,Fast Food,Night,Fast,1.2836959598192852,Cash on Delivery,No,1.5834827943760135,Medium
CUST0174,64,Zomato,Monthly,Fast Food,Night,Medium,2.2084725061877237,UPI,No,3.6614028170444803,Large
CUST0175,64,Zomato,Daily,Beverages,Afternoon,Fast,2.843899410987391,Debit Card,No,4.205167020194271,Small
CUST0176,34,Swiggy,Daily,Desserts,Morning,Medium,3.36214382688528,UPI,Yes,3.811867238114591,Large
CUST0177,50,Zomato,Occasionally,Desserts,Night,Slow,1.9543011671565425,Credit Card,No,3.3955212330859705,Medium
CUST0178,29,Uber Eats,Monthly,Beverages,Night,Medium,1.9747642441972797,Credit Card,Yes,2.2355657071583863,Small
CUST0179,50,Zomato,Weekly,Beverages,Night,Slow,1.6360811583367503,Cash on Delivery,Yes,4.961340447920561,Medium
CUST0180,24,Swiggy,Daily,Desserts,Morning,Medium,2.9294986243193284,Cash on Delivery,Yes,1.4938560507730405,Medium
CUST0181,58,Uber Eats,Weekly,Fast Food,Night,Slow,1.2642397386048483,Debit Card,No,4.987394417752899,Medium
CUST0182,37,Swiggy,Occasionally,Fast Food,Night,Slow,1.8329525832508713,UPI,Yes,3.8260890714517815,Small
CUST0183,58,Uber Eats,Daily,Beverages,Evening,Medium,3.776239442556208,Cash on Delivery,No,2.91313098761669,Small
CUST0184,50,Uber Eats,Weekly,Desserts,Morning,Fast,2.724593990573703,Cash on Delivery,Yes,4.314749217501433,Small
CUST0185,56,Swiggy,Daily,Fast Food,Night,Slow,4.920820904831698,UPI,Yes,2.980102100714895,Small
CUST0186,30,Swiggy,Weekly,Beverages,Morning,Fast,3.2688447769679656,UPI,No,3.8165619065313248,Large
CUST0187,27,Swiggy,Monthly,Healthy Food,Morning,Slow,2.3688033385433815,Credit Card,No,2.5068345087412767,Medium
CUST0188,41,Swiggy,Monthly,Beverages,Night,Medium,3.776532627229521,Credit Card,Yes,4.924571180647915,Medium
CUST0189,28,Zomato,Occasionally,Healthy Food,Night,Medium,1.6923418242517783,Cash on Delivery,No,2.33257818677134,Medium
CUST0190,52,Swiggy,Daily,Beverages,Morning,Slow,3.678420784410667,Credit Card,No,4.311538777255008,Large
CUST0191,51,Uber Eats,Weekly,Desserts,Morning,Medium,3.95746817978809,Cash on Delivery,No,1.8424523427507262,Small
CUST0192,18,Zomato,Occasionally,Desserts,Morning,Medium,3.847635286277183,Cash on Delivery,No,3.9306324104795722,Small
CUST0193,56,Swiggy,Monthly,Desserts,Evening,Slow,4.346992775399396,UPI,No,4.241674608739368,Small
CUST0194,38,Zomato,Monthly,Desserts,Afternoon,Slow,1.457291441922281,Cash on Delivery,Yes,3.801629654637741,Small
CUST0195,49,Uber Eats,Occasionally,Healthy Food,Night,Fast,3.3843019742640386,Cash on Delivery,No,1.2102652169215036,Medium
CUST0196,19,Uber Eats,Daily,Beverages,Evening,Fast,2.3015123771157175,Cash on Delivery,No,4.461727582694254,Medium
CUST0197,25,Uber Eats,Weekly,Desserts,Evening,Slow,1.3906156367666438,Credit Card,Yes,1.7160809295409556,Small
CUST0198,41,Zomato,Monthly,Fast Food,Morning,Fast,2.780864929442823,Credit Card,No,2.950018606406315,Medium
CUST0199,37,Zomato,Occasionally,Fast Food,Afternoon,Medium,2.232142894145353,Debit Card,No,2.5672314554185203,Large
CUST0200,33,Swiggy,Monthly,Fast Food,Night,Medium,2.623174788642157,UPI,Yes,4.9375581686202334,Medium
CUST0201,21,Swiggy,Monthly,Beverages,Evening,Medium,3.393036726377744,Debit Card,Yes,3.637001243602525,Medium
CUST0202,33,Swiggy,Weekly,Fast Food,Night,Slow,3.7420347277541968,Cash on Delivery,Yes,4.394072984432972,Large
CUST0203,54,Uber Eats,Daily,Fast Food,Evening,Medium,3.3856216600937654,Cash on Delivery,No,4.96425285999673,Small
CUST0204,23,Swiggy,Daily,Healthy Food,Night,Medium,4.27946291503045,Debit Card,Yes,3.191771638163494,Large
CUST0205,23,Zomato,Weekly,Beverages,Morning,Fast,2.309632971712802,UPI,Yes,2.3496405906211573,Medium
CUST0206,64,Swiggy,Occasionally,Beverages,Morning,Slow,3.579956461792134,Cash on Delivery,Yes,3.711594744724679,Small
CUST0207,49,Uber Eats,Occasionally,Fast Food,Afternoon,Slow,1.245928886250645,Cash on Delivery,No,4.961257199892614,Small
CUST0208,22,Swiggy,Daily,Beverages,Morning,Medium,1.8704470937560078,Credit Card,No,4.03085674021729,Small
CUST0209,52,Uber Eats,Monthly,Healthy Food,Evening,Slow,1.5556669499654032,Cash on Delivery,No,2.564252378696895,Medium
CUST0210,26,Uber Eats,Monthly,Healthy Food,Evening,Fast,3.3230715663211345,Cash on Delivery,Yes,3.1113777377234277,Medium
CUST0211,26,Uber Eats,Occasionally,Desserts,Evening,Fast,4.019954044703627,Cash on Delivery,Yes,2.132159479926946,Medium
CUST0212,60,Swiggy,Weekly,Healthy Food,Evening,Slow,4.239357471471558,Debit Card,Yes,3.7855052627046044,Small
CUST0213,48,Zomato,Monthly,Desserts,Morning,Medium,4.0283108695365595,Credit Card,No,1.7803687066170175,Small
CUST0214,53,Swiggy,Occasionally,Fast Food,Morning,Slow,3.6435255750780233,Cash on Delivery,Yes,4.425008879542649,Medium
CUST0215,28,Uber Eats,Weekly,Desserts,Afternoon,Fast,2.8118976810948793,UPI,No,2.5750898151790964,Medium
CUST0216,34,Swiggy,Daily,Desserts,Night,Medium,2.1660130140180187,Cash on Delivery,No,1.523602733713942,Medium
CUST0217,51,Swiggy,Weekly,Fast Food,Afternoon,Slow,3.462288665113789,Cash on Delivery,No,4.0090659198545655,Medium
CUST0218,56,Swiggy,Daily,Desserts,Night,Fast,2.788639074434835,UPI,No,3.321534719045622,Large
CUST0219,45,Uber Eats,Occasionally,Healthy Food,Morning,Slow,1.8226467276071543,UPI,Yes,4.220287145797112,Large
CUST0220,31,Uber Eats,Weekly,Fast Food,Evening,Slow,4.509701410430601,UPI,Yes,4.399238882499201,Small
